Python File,Issue ID,Number,Function Name,Title,Lines of Code,Cyclomatic Complexity,Number of Calls,TBF,Reliability
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1737611887,4780,should_contain_suites,Process: `Split/Join Command Line` do not work properly with `pathlib.Path` objects,310,119,3,0,1
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1737461942,4779,should_contain_tags,External parser API for custom parsers,310,119,4,0,1
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1733754501,4778,should_contain_keywords,External parser API for custom parsers,310,119,3,0,1
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1731173138,4777,test_should_have_correct_keywords,External parser API for custom parsers,310,119,3,0,1
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1725085350,4775,check_log_message,Add type hints to parsing API,310,119,3,4,0.945407168
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1723437550,4773,start_test,Add type hints to parsing API,310,119,2,5,0.932231157
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1723377566,4772,start_keyword,Possibility to continue execution after WHILE limit is reached,310,119,0,13,0.83322328
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1722483268,4771,_add_kws_and_msgs,Add on_limit option to WHILE,310,119,1,1,0.986063135
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1719852679,4770,start_for,Add on_limit option to WHILE,310,119,0,1,0.986063135
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1711629532,4768,start_for_iteration,Possibility to continue execution after WHILE limit is reached,310,119,0,15,0.810160082
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1708881362,4767,start_if,Remove deprecated constructs from Libdoc spec files,310,119,0,8,0.893794714
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,1708648106,4766,start_if_branch,Remove deprecated `accept_plain_values` from `timestr_to_secs` utility function,310,119,0,0,1
